front	back	tags	front_reading	meaning
フリーだよ、パス！	"<div class=""back-reading"">フリーだよ、パス</div>
<div class=""back-meaning"">你没人防，传球！</div>
<div class=""back-structure"">フリー = 无人防守(free) ＋ だよ = 强调 ＋ パス = 传球(pass)</div>
<div class=""back-expand"">球场上喊话用，casual</div>"	japanese daily_phrases basketball casual	フリーだよ、パス	你没人防，传球！
上手ですね！	"<div class=""back-reading"">じょうずですね</div>
<div class=""back-meaning"">你很厉害啊！</div>
<div class=""back-structure"">上手(じょうず) = 擅长 ＋ です = 礼貌 ＋ ね = 寻求认同<br><b>句型：</b>[名词]が上手です</div>
<div class=""back-expand"">夸人最常用；反义：下手(へた)</div>"	japanese daily_phrases praise polite	じょうずですね	你很厉害啊！
プレーがうまいですね。	"<div class=""back-reading"">プレーがうまいですね</div>
<div class=""back-meaning"">你打得真好。</div>
<div class=""back-structure"">プレー = 打法/表现(play) ＋ が ＋ うまい = 厉害 ＋ ですね</div>
<div class=""back-expand"">うまい 比 上手 更口语、更随意</div>"	japanese daily_phrases praise	プレーがうまいですね	你打得真好。
バスケ上手ですね。	"<div class=""back-reading"">バスケじょうずですね</div>
<div class=""back-meaning"">你篮球打得真好。</div>
<div class=""back-structure"">バスケ = 篮球(バスケットボール简称) ＋ 上手 ＋ ですね</div>"	japanese daily_phrases basketball praise polite	バスケじょうずですね	你篮球打得真好。
めっちゃ上手ですね！	"<div class=""back-reading"">めっちゃじょうずですね</div>
<div class=""back-meaning"">你超厉害的！</div>
<div class=""back-structure"">めっちゃ = 超级(关西腔，≈とても) ＋ 上手 ＋ ですね</div>
<div class=""back-expand"">年轻人高频；更口语：めっちゃうまい</div>"	japanese daily_phrases praise casual	めっちゃじょうずですね	你超厉害的！
週に何回くらいバスケをするんですか？	"<div class=""back-reading"">しゅうになんかいくらいバスケをするんですか</div>
<div class=""back-meaning"">你一周大概打几次篮球？</div>
<div class=""back-structure"">週に = 每周 ＋ 何回(なんかい) = 几次 ＋ くらい = 大约 ＋ するんですか = 询问(んです 表关心)</div>
<div class=""back-expand"">搭讪/拉近关系常用问句</div>"	japanese daily_phrases basketball question polite	しゅうになんかいくらいバスケをするんですか	你一周大概打几次篮球？
普段いつ来てるんですか？	"<div class=""back-reading"">ふだんいつきてるんですか</div>
<div class=""back-meaning"">你平时什么时候来？</div>
<div class=""back-structure"">普段(ふだん) = 平时 ＋ いつ = 何时 ＋ 来てる = 来(来ている 缩约) ＋ んですか</div>
<div class=""back-expand"">约下次见面的铺垫句</div>"	japanese daily_phrases question	ふだんいつきてるんですか	你平时什么时候来？
また今度一緒にやりましょう！	"<div class=""back-reading"">またこんどいっしょにやりましょう</div>
<div class=""back-meaning"">下次再一起玩吧！</div>
<div class=""back-structure"">また = 再 ＋ 今度(こんど) = 下次 ＋ 一緒に = 一起 ＋ やりましょう = 做吧(ましょう 邀约)</div>
<div class=""back-expand"">告别时留后路的万能句</div>"	japanese daily_phrases invite polite	またこんどいっしょにやりましょう	下次再一起玩吧！
同じチームでやりましょう。	"<div class=""back-reading"">おなじチームでやりましょう</div>
<div class=""back-meaning"">我们一队吧。</div>
<div class=""back-structure"">同じ(おなじ) = 相同 ＋ チーム ＋ で = 以…(方式) ＋ やりましょう</div>"	japanese daily_phrases basketball invite	おなじチームでやりましょう	我们一队吧。
一緒にチーム組んで試合しませんか？	"<div class=""back-reading"">いっしょにチームくんでしあいしませんか</div>
<div class=""back-meaning"">要不要一起组队比赛？</div>
<div class=""back-structure"">チームを組む = 组队 ＋ て形连接 ＋ 試合(しあい) = 比赛 ＋ しませんか = 要不要…(委婉邀约)</div>
<div class=""back-expand"">〜ませんか 比 〜ましょう 更礼貌、给对方拒绝空间</div>"	japanese daily_phrases basketball invite polite	いっしょにチームくんでしあいしませんか	要不要一起组队比赛？
1対1で勝負しましょう！	"<div class=""back-reading"">いったいいちでしょうぶしましょう</div>
<div class=""back-meaning"">来单挑吧！</div>
<div class=""back-structure"">1対1(いったいいち) = 一对一 ＋ で ＋ 勝負(しょうぶ) = 决胜负 ＋ しましょう</div>"	japanese daily_phrases basketball invite	いったいいちでしょうぶしましょう	来单挑吧！
あなたは相手チームです。	"<div class=""back-reading"">あなたはあいてチームです</div>
<div class=""back-meaning"">你是对方队的。</div>
<div class=""back-structure"">あなた = 你 ＋ は ＋ 相手(あいて) = 对手 ＋ チーム ＋ です</div>
<div class=""back-expand"">分队时用；相手 = 对手/对方</div>"	japanese daily_phrases basketball	あなたはあいてチームです	你是对方队的。
