front	back	tags	front_reading	meaning
はじめまして、シャオと申します。SREエンジニアをしています。	"<div class=""back-reading"">はじめまして、シャオともうします。エスアールイーエンジニアをしています。</div>
<div class=""back-meaning"">初次见面，我姓邵。我是做 SRE 工程师的。</div>
<div class=""back-structure"">〜と申(もう)します = 谦让语自我介绍(比です更郑重) ＋ 〜をしています = 从事…工作</div>
<div class=""back-expand"">随意版：シャオです。SREやってます。</div>"	japanese personal_top100 self_intro polite	はじめまして、シャオともうします。エスアールイーエンジニアをしています。	初次见面，我姓邵。我是做 SRE 工程师的。
最近はAIインフラ系の仕事が中心です。	"<div class=""back-reading"">さいきんはエーアイインフラけいのしごとがちゅうしんです。</div>
<div class=""back-meaning"">最近主要做 AI 基础设施方面的工作。</div>
<div class=""back-structure"">〜系(けい) = …类/…方面 ＋ 〜が中心です = 以…为主</div>
<div class=""back-expand"">〜をメインにやっています 也行</div>"	japanese personal_top100 self_intro work	さいきんはエーアイインフラけいのしごとがちゅうしんです。	最近主要做 AI 基础设施方面的工作。
東京に住んで、もう数年になります。	"<div class=""back-reading"">とうきょうにすんで、もうすうねんになります。</div>
<div class=""back-meaning"">住在东京已经好几年了。</div>
<div class=""back-structure"">〜て、もう〜になります = 已经…(时间)了 ＋ 数年(すうねん) = 好几年</div>
<div class=""back-expand"">更直接：もう5年です</div>"	japanese personal_top100 self_intro	とうきょうにすんで、もうすうねんになります。	住在东京已经好几年了。
仕事のほかに、ずっと個人開発もやっています。	"<div class=""back-reading"">しごとのほかに、ずっとこじんかいはつもやっています。</div>
<div class=""back-meaning"">工作之外，我一直也在做个人项目。</div>
<div class=""back-structure"">〜のほかに = 除…之外 ＋ 個人開発(こじんかいはつ) = 个人项目 ＋ ずっと = 一直</div>
<div class=""back-expand"">サイドプロジェクト とも言う</div>"	japanese personal_top100 self_intro builder	しごとのほかに、ずっとこじんかいはつもやっています。	工作之外，我一直也在做个人项目。
物事をシステムとして考えるのが好きなんです。	"<div class=""back-reading"">ものごとをシステムとしてかんがえるのがすきなんです。</div>
<div class=""back-meaning"">我喜欢把事情当作系统来思考。</div>
<div class=""back-structure"">〜として = 作为… ＋ 〜のが好き = 喜欢做… ＋ んです = 说明语气</div>
<div class=""back-expand"">你的「系统思考者」一句话</div>"	japanese personal_top100 self_intro mindset	ものごとをシステムとしてかんがえるのがすきなんです。	我喜欢把事情当作系统来思考。
ツールはただ使うより、自分で作る方が好きですね。	"<div class=""back-reading"">ツールはただつかうより、じぶんでつくるほうがすきですね。</div>
<div class=""back-meaning"">工具比起单纯用，我更喜欢自己造。</div>
<div class=""back-structure"">ただ = 只是 ＋ 〜より〜方(ほう)が好き = 比起…更喜欢…</div>
<div class=""back-expand"">builder 心态浓缩句</div>"	japanese personal_top100 self_intro builder	ツールはただつかうより、じぶんでつくるほうがすきですね。	工具比起单纯用，我更喜欢自己造。
日本語でも技術的な発信をしていきたいんです。	"<div class=""back-reading"">にほんごでもぎじゅつてきなはっしんをしていきたいんです。</div>
<div class=""back-meaning"">我也想用日语做技术输出/分享。</div>
<div class=""back-structure"">発信(はっしん) = 对外输出/发声 ＋ 〜ていきたい = 想持续做下去</div>
<div class=""back-expand"">ブログやYouTubeで発信しています</div>"	japanese personal_top100 self_intro creator	にほんごでもぎじゅつてきなはっしんをしていきたいんです。	我也想用日语做技术输出/分享。
ふだんは中国語ですが、英語と日本語も使います。	"<div class=""back-reading"">ふだんはちゅうごくごですが、えいごとにほんごもつかいます。</div>
<div class=""back-meaning"">平时主要中文，英语和日语也用。</div>
<div class=""back-structure"">ふだんは = 平时 ＋ 〜ですが = …但是(铺垫)</div>
<div class=""back-expand"">三语身份说明</div>"	japanese personal_top100 self_intro	ふだんはちゅうごくごですが、えいごとにほんごもつかいます。	平时主要中文，英语和日语也用。
今月、本番環境のKubernetesをアップグレードしました。	"<div class=""back-reading"">こんげつ、ほんばんかんきょうのクーバネティスをアップグレードしました。</div>
<div class=""back-meaning"">这个月我升级了生产环境的 Kubernetes。</div>
<div class=""back-structure"">本番環境(ほんばんかんきょう) = 生产环境 ＋ アップグレード = 升级</div>
<div class=""back-expand"">反义：テスト環境/検証環境(けんしょうかんきょう)</div>"	japanese personal_top100 work tech	こんげつ、ほんばんかんきょうのクーバネティスをアップグレードしました。	这个月我升级了生产环境的 Kubernetes。
ダウンタイムなしで更新するのは、思ったより大変でした。	"<div class=""back-reading"">ダウンタイムなしでこうしんするのは、おもったよりたいへんでした。</div>
<div class=""back-meaning"">零停机更新比想象中更费劲。</div>
<div class=""back-structure"">〜なしで = 在没有…的情况下 ＋ 思ったより = 比想象中 ＋ 大変(たいへん) = 不容易</div>
<div class=""back-expand"">〜のは大変でした = 做…很辛苦</div>"	japanese personal_top100 work tech	ダウンタイムなしでこうしんするのは、おもったよりたいへんでした。	零停机更新比想象中更费劲。
オンコール中に、アラートが鳴って対応しました。	"<div class=""back-reading"">オンコールちゅうに、アラートがなってたいおうしました。</div>
<div class=""back-meaning"">值班(on-call)时警报响了，我去处理了。</div>
<div class=""back-structure"">〜中(ちゅう)に = 在…期间 ＋ アラートが鳴(な)る = 警报响 ＋ 対応(たいおう) = 应对/处理</div>
<div class=""back-expand"">対応 = IT 高频「处理」</div>"	japanese personal_top100 work sre	オンコールちゅうに、アラートがなってたいおうしました。	值班(on-call)时警报响了，我去处理了。
問題の根本原因を突き止めるのが、一番大事です。	"<div class=""back-reading"">もんだいのこんぽんげんいんをつきとめるのが、いちばんだいじです。</div>
<div class=""back-meaning"">查清问题的根本原因最重要。</div>
<div class=""back-structure"">根本原因(こんぽんげんいん) = 根因 ＋ 突(つ)き止める = 追查到底</div>
<div class=""back-expand"">你的 SRE 调查理念</div>"	japanese personal_top100 work sre	もんだいのこんぽんげんいんをつきとめるのが、いちばんだいじです。	查清问题的根本原因最重要。
ログとメトリクスを見れば、だいたい原因がわかります。	"<div class=""back-reading"">ログとメトリクスをみれば、だいたいげんいんがわかります。</div>
<div class=""back-meaning"">看日志和指标，大概就能知道原因。</div>
<div class=""back-structure"">〜ば = 如果…就 ＋ だいたい = 大概 ＋ 原因(げんいん)がわかる = 弄清原因</div>
<div class=""back-expand"">観測可能性(オブザーバビリティ)的话题</div>"	japanese personal_top100 work sre	ログとメトリクスをみれば、だいたいげんいんがわかります。	看日志和指标，大概就能知道原因。
このあたりは自動化できますが、判断は人がやるべきです。	"<div class=""back-reading"">このあたりはじどうかできますが、はんだんはひとがやるべきです。</div>
<div class=""back-meaning"">这部分能自动化，但判断该由人来做。</div>
<div class=""back-structure"">自動化(じどうか) = 自动化 ＋ 〜べきです = 应该…(强观点)</div>
<div class=""back-expand"">判断(はんだん) = 判断</div>"	japanese personal_top100 work tech	このあたりはじどうかできますが、はんだんはひとがやるべきです。	这部分能自动化，但判断该由人来做。
すみません、ここの設計の意図を教えてもらえますか？	"<div class=""back-reading"">すみません、ここのせっけいのいとをおしえてもらえますか。</div>
<div class=""back-meaning"">不好意思，这里设计的意图能跟我讲一下吗？</div>
<div class=""back-structure"">設計(せっけい)の意図(いと) = 设计意图 ＋ 〜てもらえますか = 能请你…吗(礼貌请求)</div>
<div class=""back-expand"">code review / 会议提问</div>"	japanese personal_top100 work question	すみません、ここのせっけいのいとをおしえてもらえますか。	不好意思，这里设计的意图能跟我讲一下吗？
